12+ yrs,6-11yrs,y_true
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
1.0,7.205647115682655e-25,12+ yrs
1.0,2.7064802853535092e-25,12+ yrs
1.0,4.6777293069435295e-27,12+ yrs
1.0,1.9911349196300518e-23,12+ yrs
1.0,4.395690244893761e-25,12+ yrs
1.0,2.4512995505916117e-24,12+ yrs
1.0,6.081524153800145e-28,12+ yrs
0.9999999982027366,1.7972634096571185e-09,12+ yrs
1.0,7.009048720870922e-28,12+ yrs
1.0,3.2775428012235786e-24,12+ yrs
1.0,5.988057291192405e-29,12+ yrs
1.0,1.5644487740651431e-28,12+ yrs
1.0,1.9645829093026386e-28,12+ yrs
1.0,1.4052300295524733e-28,12+ yrs
1.0,6.661920312993678e-25,12+ yrs
1.0,4.535223400959422e-28,12+ yrs
1.0,1.9410791611436535e-28,12+ yrs
1.0,5.468674284264308e-26,12+ yrs
1.0,1.1748313250029273e-28,12+ yrs
1.0,2.9801384816075066e-30,12+ yrs
1.0,5.720233231728078e-28,12+ yrs
1.0,5.15641148825327e-29,12+ yrs
1.0,1.4488250430907075e-26,12+ yrs
1.0,2.0715872088581983e-30,12+ yrs
1.0,3.5125398358585596e-26,12+ yrs
1.0,9.332944926621299e-27,12+ yrs
1.0,2.2890410228842314e-29,12+ yrs
1.0,2.2593534721058746e-27,12+ yrs
1.0,3.3825941378620217e-29,12+ yrs
0.9990925081506349,0.0009074918493651383,12+ yrs
1.0,2.3247845363612027e-29,12+ yrs
1.0,1.300410683927523e-29,12+ yrs
1.0,2.2031669647209092e-32,12+ yrs
1.0,7.29290240569281e-28,12+ yrs
1.0,4.999322643956607e-30,12+ yrs
1.0,5.216138659371642e-31,12+ yrs
1.0,1.5803649450896294e-30,12+ yrs
1.0,7.161491475357902e-29,12+ yrs
1.0,7.748862046470761e-29,12+ yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
1.0,7.552296587020911e-24,12+ yrs
1.0,1.2884199227752843e-25,12+ yrs
1.0,1.0621785912409945e-26,12+ yrs
1.0,9.55546419247483e-23,12+ yrs
1.0,2.092568313362146e-25,12+ yrs
1.0,5.566200462887511e-24,12+ yrs
1.0,2.966857506884249e-27,12+ yrs
0.9999999981313875,1.868612472064301e-09,12+ yrs
1.0,1.5656272958199245e-27,12+ yrs
1.0,1.5989416827142574e-23,12+ yrs
1.0,1.3597166147232767e-28,12+ yrs
1.0,3.552415896402069e-28,12+ yrs
1.0,9.428040992057574e-28,12+ yrs
1.0,1.4972234527129578e-27,12+ yrs
1.0,3.250002432123776e-24,12+ yrs
1.0,1.0298195741775451e-27,12+ yrs
1.0,2.0681519626806788e-27,12+ yrs
1.0,2.667880114039517e-25,12+ yrs
1.0,1.2214706285305664e-28,12+ yrs
1.0,1.4421889414069368e-30,12+ yrs
1.0,5.850434148579868e-28,12+ yrs
1.0,5.361114440409785e-29,12+ yrs
1.0,3.236273743647819e-26,12+ yrs
1.0,4.703982293014778e-30,12+ yrs
1.0,1.7135844430931127e-25,12+ yrs
1.0,4.442948373463867e-27,12+ yrs
1.0,5.113083457399343e-29,12+ yrs
1.0,2.3490469201091517e-27,12+ yrs
1.0,7.555778143113257e-29,12+ yrs
1.0,5.192924563627378e-29,12+ yrs
1.0,1.352035327659362e-29,12+ yrs
1.0,5.0432257068463375e-31,12+ yrs
1.0,3.4717861442405105e-28,12+ yrs
1.0,5.19778936957246e-30,12+ yrs
1.0,5.423212703959345e-31,12+ yrs
1.0,1.6033679926886659e-31,12+ yrs
1.0,1.599678783686474e-28,12+ yrs
1.0,1.7308810959428052e-28,12+ yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
0.0,1.0,6-11yrs
1.0,1.6095419303858238e-24,12+ yrs
1.0,2.768083755058164e-25,12+ yrs
1.0,1.0621785912409945e-26,12+ yrs
1.0,4.4476437587748217e-23,12+ yrs
1.0,2.092568313362146e-25,12+ yrs
1.0,5.566200462887511e-24,12+ yrs
1.0,1.3809402670421958e-27,12+ yrs
0.999999991232092,8.767907956574967e-09,12+ yrs
1.0,3.41934822385591e-27,12+ yrs
1.0,7.321122561944637e-24,12+ yrs
1.0,2.9212599139190807e-28,12+ yrs
1.0,1.6265553928402865e-28,12+ yrs
1.0,2.0590951184042655e-27,12+ yrs
1.0,3.190875647601033e-28,12+ yrs
1.0,6.926390043194208e-25,12+ yrs
1.0,1.0298195741775451e-27,12+ yrs
1.0,4.40763582837173e-28,12+ yrs
1.0,2.667880114039517e-25,12+ yrs
1.0,1.2214706285305664e-28,12+ yrs
1.0,6.767042482339074e-30,12+ yrs
1.0,1.2569265222038935e-27,12+ yrs
1.0,2.5155434304982343e-28,12+ yrs
1.0,1.5063415473795114e-26,12+ yrs
1.0,4.703982293014778e-30,12+ yrs
1.0,7.846040830476163e-26,12+ yrs
1.0,2.0847213237357492e-26,12+ yrs
1.0,1.0896979645091861e-29,12+ yrs
1.0,1.1022203710617032e-26,12+ yrs
1.0,3.516878806094005e-29,12+ yrs
0.9979751816062157,0.002024818393784273,12+ yrs
1.0,1.1341407645781942e-28,12+ yrs
1.0,6.344023475154713e-29,12+ yrs
1.0,4.921264603204504e-32,12+ yrs
1.0,7.458899584700099e-28,12+ yrs
1.0,1.1167101704803858e-29,12+ yrs
1.0,5.423212703959345e-31,12+ yrs
1.0,3.5300974410716264e-30,12+ yrs
1.0,1.599678783686474e-28,12+ yrs
1.0,1.7308810959428052e-28,12+ yrs
